id,preco_estimado
64615,6147
83338,15401
26411,4823
62530,1496
11665,7625
49924,11904
76008,3703
64433,4648
29534,2884
5147,3486
38761,14624
95016,9418
93157,16946
4732,1591
85309,1253
89575,6561
79720,9143
37177,3285
10926,2147
82878,4108
29405,1214
27572,11281
65544,7277
79279,6373
44565,3892
21321,15129
29420,4032
25775,2076
7707,1979
18326,1867
61881,11561
3137,9883
48944,2747
12201,1187
73928,3579
64893,8435
24821,2024
38089,3956
64260,12629
64583,6144
86355,1756
37908,19216
88714,2823
26138,3120
13103,3203
12834,1871
35462,10210
56008,13804
56359,10382
98246,4361
39224,12637
49151,7187
98025,833
32290,1530
73444,6006
13046,11559
1256,9350
81087,7488
43393,12789
19602,2018
27229,658
71855,12124
59106,2354
97575,1023
27192,3237
94997,5112
13978,1887
42836,1652
60711,2634
90360,2286
11704,9063
94494,2166
51701,2953
4173,1148
88536,1400
15114,1596
55211,16377
98876,1790
6355,11480
89441,5558
21219,3359
97225,798
56488,1654
17539,11790
8919,6939
30882,3800
44297,6186
87122,9766
54683,985
71165,8172
79467,2293
357,934
88445,6159
45201,3535
99530,3118
124,3563
48775,8069
32943,3447
6388,7217
42029,7129
80467,13365
26779,22492
72867,1863
18173,5934
165,1857
54818,10272
82234,2724
67460,2845
37387,9113
37190,1213
3089,7277
12364,2464
23686,7131
18318,10375
72546,2667
20544,7847
76180,8751
97445,1755
46672,11325
90271,5387
64562,2192
88464,15635
3145,3079
93345,2825
55997,2598
89230,5181
73332,6664
26644,6319
90720,14907
46411,13830
19035,1254
29934,7548
61568,3486
13456,8851
46870,12167
75143,8951
96780,12634
58543,5329
64721,1754
54385,19414
83422,4398
75827,15335
67593,6917
48256,2653
339,2251
42700,4834
38985,1353
65342,14571
79065,1656
39184,3682
75329,5685
66812,12639
88593,3514
55508,2492
86624,4978
986,3541
49405,4309
16573,7667
30534,2093
82815,3408
93810,11524
98307,3801
44277,2461
43707,6121
78367,9118
23136,4531
35563,6715
48952,8994
17897,2452
37406,1595
33764,1011
98714,1346
57125,5030
8898,11670
2220,1604
5528,6845
97910,18102
48767,8003
29443,3715
9784,14474
52811,7414
19977,4369
21385,4557
16160,2091
17547,3035
24895,1430
49866,2729
99246,1919
23670,1468
26433,3581
78608,2188
39555,3016
15220,7158
72930,4001
44723,4193
82735,1122
210,2640
19889,8453
35527,6095
82442,10848
7361,5286
31730,6263
47888,3165
92281,4473
77089,3323
60091,1235
21611,3185
17261,14623
17877,10361
84385,1321
59538,18152
31891,9424
37372,8977
31246,4475
11715,866
73052,992
34928,10905
97375,3009
4742,2695
28106,1047
23455,2749
66370,8423
77127,3131
88184,1446
97839,2766
91020,2484
92204,11978
55369,7882
36278,5741
75455,1298
98922,1615
10998,3315
70197,7350
9526,3715
96721,978
84807,7339
60937,9643
68827,4919
69890,3370
56977,3678
91954,3933
27502,4948
66600,1732
18764,1802
55830,3331
65358,2818
66128,2171
95977,5462
7879,6379
19230,1129
8901,5134
10076,5763
73587,8908
49542,11411
83638,2351
71993,14214
8335,3704
64305,4076
21422,2262
76161,19477
1352,1393
92913,13341
45774,12639
73676,4501
37695,4848
67411,5627
3387,4691
65726,506
63302,12691
39612,10770
82713,1447
31347,4442
43550,4145
98034,2829
98181,6346
26115,8781
53224,1058
4023,11778
43344,4055
21698,7763
58628,9954
22072,5253
60677,2674
93478,9493
44992,2074
63165,5796
50425,2299
48236,6380
47663,7443
66532,4504
17420,9370
76512,2921
1244,20117
47132,8070
72096,9529
19395,3256
25474,3085
44503,5424
10970,5284
33094,1319
57114,4733
37991,10222
66813,19106
97888,3997
13206,4509
5399,16067
79147,14898
27494,1902
39822,3643
80537,6274
27200,9097
95517,10361
44056,8426
42954,1636
68745,1979
42971,13873
6883,3579
44641,1300
11883,2234
48354,12289
54568,2130
99178,10933
20683,4548
3760,13713
82870,4230
41843,1475
31149,5817
90750,5345
17145,5298
59831,6402
35603,5853
8811,12723
88787,5130
58921,7347
32557,6836
65940,1783
98099,14784
97462,11442
5004,18623
54093,11956
5003,18781
66515,1766
53903,1370
56832,1691
6676,3133
73495,3214
16109,11376
42736,12265
20221,6405
68304,5946
92692,1225
6451,1610
69761,2423
10978,5863
31454,4422
15486,12501
51920,6713
16263,9480
57877,12669
73183,6656
36592,832
85092,2123
61012,2354
62706,1666
88758,2631
75184,10031
88918,4744
18939,20264
58375,5783
41480,4187
85128,7244
33411,14453
61264,3664
44493,5015
41254,2576
65312,9891
64696,3911
53366,3121
48710,5107
27269,4918
8961,1878
45062,5845
29745,4047
66595,3735
96820,5861
63511,15709
55649,3182
47733,3197
71378,1828
35413,14953
40886,4012
22357,14084
69558,2028
52893,674
44858,722
8460,2698
98415,5480
87133,1652
24997,8239
8295,867
67116,4386
72906,9347
32131,6172
51681,3130
86828,19765
14747,4632
35731,3119
13379,9204
31414,3995
12321,11906
53286,2326
78041,2485
87558,1497
57347,18071
57588,1065
16053,13460
66772,5846
1082,6491
30072,5762
2370,5856
94236,1602
9277,9630
94618,6988
8451,15314
54447,2564
61863,5633
3138,18585
49826,1926
92566,1049
39403,2720
38208,9567
97159,12178
73216,11557
28048,3923
18796,7095
27038,1234
35350,7530
57081,14965
25101,8896
43319,10357
53155,9933
90823,12055
48088,1788
88055,2351
36798,1216
53947,6134
66349,3064
20507,3937
48215,7502
75826,6808
24464,1911
13079,1150
42634,4204
34581,2633
82832,2240
19490,2322
47933,1676
44170,8202
99399,567
85881,6738
88183,7609
59356,3468
67276,5640
33374,3857
41154,1577
71506,8689
3479,7661
27940,2518
30947,15865
3799,7426
26594,13883
28659,4004
75815,5677
46691,1807
89786,2052
10323,6907
66941,5303
85065,3176
9778,2852
10619,2942
36125,3925
55987,8431
38019,3695
19868,7916
53803,9657
3979,1961
62287,10421
89031,1083
56152,6742
19916,1021
20649,14265
76405,24434
17834,13488
82081,972
9548,2565
70470,2075
83793,10000
32098,1984
2945,956
66787,7558
77300,2321
48527,3144
99286,2910
62620,17553
77563,2917
24059,789
42546,9653
32247,7472
70866,1634
73704,3587
51424,1306
95872,6589
66862,5613
26053,7699
47194,2036
8971,4843
50560,14675
60373,1357
32025,6615
18886,5524
14569,677
64252,2399
3189,1607
66074,17370
6179,3629
26130,4484
96902,842
60244,2858
38103,6896
88289,6970
35415,4823
70368,7947
77076,957
7560,1415
28695,2348
37573,11150
75331,9638
22906,5274
26852,22179
59454,1164
76080,3885
32153,11125
3709,936
51913,4068
27238,7626
71580,7284
29223,6169
8996,10105
734,6143
52005,7173
22707,2170
78212,3695
73150,4033
94069,7880
15133,5685
97912,14951
90910,1362
59637,13641
32665,2009
52099,3191
97262,11695
13592,19177
34253,2061
85049,6196
98459,3875
58037,5865
24697,4160
5669,6567
60442,7057
65418,11659
74943,2018
40064,5230
67025,10572
65786,4111
46217,7930
73265,6610
61897,1174
52197,13718
46721,6619
29610,2759
54889,5402
77100,7126
83156,8716
58856,1768
33050,15374
48227,9127
55159,2212
62131,7191
23351,2642
96404,6026
91613,4398
38886,920
75514,1277
82681,3762
39910,2611
56228,3789
22718,2423
85053,5051
60728,1574
13767,4400
84212,2735
95257,1474
69533,9553
64322,14429
1626,3341
16381,924
2111,3624
92705,14295
64088,4469
90863,2622
19167,11962
54606,1832
32527,1192
66777,2534
52195,5598
79717,2384
72477,4430
87565,8066
91451,1387
9344,3015
44290,3587
93889,4335
26901,17472
91249,6186
50771,17964
93915,5889
41236,11944
78099,2676
24956,1731
81334,4462
70602,18700
71002,12643
72767,8717
41722,2373
30291,4325
66139,14397
15339,1997
83046,7899
78575,3406
5714,11060
2636,2844
33671,2549
6551,9357
62792,3883
32812,6894
11801,2306
43353,5723
92240,2839
27076,5440
87941,942
18265,6908
55588,3956
85603,13272
3772,607
28925,1838
22523,20409
46879,5404
84738,14372
83373,23977
94616,8145
91033,2918
39153,2297
45913,11670
97367,11428
29132,9922
82475,3644
82960,13682
68019,11700
84899,3441
28292,14179
82295,1701
26387,12599
